15 91
13 5 82
7 14 81
12 6 10
0 2 12
11 3 12
8 12 75
3 9 49
5 7 16
14 8 40
14 12 53
5 10 68
11 7 5
2 11 73
5 2 65
1 12 38
2 10 74
12 4 32
2 4 47
2 1 32
10 13 4
9 1 56
7 10 80
1 10 36
2 8 11
4 13 24
6 14 55
8 4 58
14 0 65
8 0 90
12 3 63
5 14 9
1 8 41
0 5 22
0 3 77
12 2 83
4 6 16
4 5 80
7 1 64
7 3 50
8 7 30
9 5 9
3 13 29
2 7 64
10 0 66
9 8 39
7 13 20
10 12 56
14 9 57
14 10 1
10 9 4
5 1 69
6 10 45
12 9 17
6 5 44
0 12 39
8 13 69
4 0 40
12 7 27
11 8 66
3 10 75
12 13 56
12 5 86
13 6 90
5 8 44
9 11 16
9 7 4
0 11 47
14 11 68
13 1 42
11 5 2
6 3 27
4 9 78
7 4 31
0 9 85
3 2 11
11 13 74
6 0 71
14 2 63
10 4 12
6 7 59
13 2 55
6 8 84
13 14 38
1 3 36
1 4 21
1 11 23
7 0 21
6 9 9
11 10 5
1 14 14
4 14 4
7 13
