30 300
11 26 11
28 23 10
15 3 12
15 13 2
24 9 6
9 26 18
9 0 1
20 2 8
0 21 11
25 23 12
14 27 8
15 17 3
26 3 6
18 10 19
1 5 10
28 14 16
27 15 6
17 5 1
7 28 4
7 23 18
10 29 17
17 14 14
2 3 7
27 21 10
6 14 5
15 12 11
13 9 16
12 2 16
10 16 5
25 15 5
25 11 5
1 24 7
4 3 6
17 22 4
1 8 12
5 8 15
6 23 15
17 27 8
4 8 16
29 25 1
25 20 2
1 14 8
9 18 13
15 28 7
18 21 5
29 27 5
7 12 3
27 19 8
5 4 9
0 26 6
13 29 20
27 26 19
7 11 4
24 27 3
15 16 7
23 3 7
5 16 14
24 25 11
2 16 3
15 1 13
3 0 13
14 5 8
2 21 5
26 7 3
12 22 7
20 27 5
25 21 2
5 3 7
8 11 1
15 26 3
20 21 15
2 6 10
19 8 14
26 2 9
0 24 7
21 10 7
4 1 15
7 9 5
18 0 10
28 21 14
9 3 4
12 29 10
14 9 11
8 16 4
21 26 2
29 11 13
21 3 11
27 22 9
25 6 14
27 9 18
28 16 20
20 16 16
3 8 15
17 3 5
25 26 3
9 29 14
6 13 14
2 19 7
23 0 11
14 8 3
4 25 18
23 17 9
27 1 19
23 19 14
24 10 19
8 17 7
22 13 12
10 5 7
3 22 8
23 16 18
8 27 11
2 8 1
2 1 18
29 19 15
12 18 14
12 4 2
8 26 9
2 10 14
12 16 16
23 21 4
29 3 12
22 24 2
24 20 3
13 10 16
17 7 7
11 17 20
5 28 9
5 27 8
26 10 7
8 6 9
5 0 6
17 24 19
7 4 18
11 22 9
17 18 17
22 15 4
10 17 10
23 12 20
1 18 20
28 11 5
15 5 3
12 17 13
17 16 14
11 16 7
4 18 6
5 11 18
14 13 9
13 3 10
20 19 7
24 23 16
11 4 2
19 1 8
4 10 9
18 15 17
24 19 6
6 0 4
29 26 14
2 5 15
3 25 2
1 29 12
9 10 20
8 22 13
8 28 5
23 27 14
19 12 17
3 14 12
17 19 14
4 13 17
21 14 11
21 17 20
6 19 14
6 9 18
23 11 1
29 6 5
2 15 4
8 20 7
24 11 3
4 24 3
15 4 18
7 2 13
19 13 12
13 23 2
0 12 19
10 25 18
11 20 17
27 16 6
26 18 18
0 25 2
6 28 17
11 21 10
11 9 6
8 0 16
20 9 19
4 28 7
12 25 5
9 2 19
10 27 12
8 25 20
1 10 2
21 19 20
17 6 9
16 4 11
22 14 19
3 6 9
2 28 18
19 7 18
22 23 8
2 18 4
2 4 18
21 4 14
14 4 6
13 21 8
29 17 8
3 12 13
6 12 18
29 4 1
6 27 15
1 11 16
14 2 1
26 24 4
9 19 18
24 15 19
24 29 1
3 20 10
25 9 10
17 9 3
10 6 7
22 10 19
25 1 20
9 4 1
3 28 18
20 22 10
6 1 9
16 6 9
29 20 19
19 22 6
24 28 13
16 26 19
29 18 18
6 20 6
14 18 6
23 29 4
25 28 5
28 17 15
18 5 9
13 25 15
25 27 3
26 1 1
29 16 9
6 18 16
12 13 2
23 10 11
29 21 18
16 19 19
13 7 1
23 9 11
10 8 12
7 16 1
19 15 17
24 21 3
23 8 15
18 19 17
13 26 5
28 1 10
14 10 13
3 18 3
26 20 1
12 5 15
10 12 2
5 7 12
10 11 13
2 0 19
14 23 18
7 10 9
2 13 14
4 20 19
1 21 16
26 12 20
2 17 16
15 29 20
27 0 11
12 20 12
9 28 2
21 7 14
22 9 2
23 1 4
23 5 3
13 0 15
22 29 3
28 26 7
19 25 1
19 10 3
5 29 8
11 12 3
6 4 4
27 12 12
23 15 17
13 27 16
4 23 15
17 0 9
14 12
